CLML;Cuiseur2PMP_J;Cuiseur2PSF_J;Cuiseur2Ratio_MP_J;Cuiseur2Ratio_PSF_J;Cuiseur2Tonne_J

01/12/2021 00:00:00;null;null;null;null;87.4
02/12/2021 00:00:00;null;null;null;null;61.1
03/12/2021 00:00:00;null;null;null;null;49.4
04/12/2021 00:00:00;null;null;null;null;32
05/12/2021 00:00:00;null;null;null;null;1.1
06/12/2021 00:00:00;null;null;null;null;30.8
07/12/2021 00:00:00;null;null;null;null;40
08/12/2021 00:00:00;null;null;null;null;29
09/12/2021 00:00:00;null;null;null;null;28.4
10/12/2021 00:00:00;null;null;null;null;28.5
11/12/2021 00:00:00;null;null;null;null;29.7
13/12/2021 00:00:00;null;null;null;null;24.5
14/12/2021 00:00:00;null;null;null;null;34.9
15/12/2021 00:00:00;null;null;null;null;34.9
16/12/2021 00:00:00;null;null;null;null;19.7
17/12/2021 00:00:00;null;null;null;null;25
18/12/2021 00:00:00;null;null;null;null;21.8
19/12/2021 00:00:00;null;null;null;null;0.4
20/12/2021 00:00:00;null;null;null;null;18.9
21/12/2021 00:00:00;null;null;null;null;38.2
22/12/2021 00:00:00;null;null;null;null;37.8
23/12/2021 00:00:00;null;null;null;null;37.8
24/12/2021 00:00:00;null;null;null;null;37.8
25/12/2021 00:00:00;null;null;null;null;37.8
26/12/2021 00:00:00;null;null;null;null;37.8
27/12/2021 00:00:00;null;null;null;null;37.8
28/12/2021 00:00:00;null;null;null;null;37.8
29/12/2021 00:00:00;null;null;null;null;37.8
30/12/2021 00:00:00;null;null;null;null;37.8
31/12/2021 00:00:00;null;null;null;null;37.8
01/01/2022 00:00:00;null;null;null;null;37.8
02/01/2022 00:00:00;null;null;null;null;37.8
03/01/2022 00:00:00;null;null;null;null;37.8
04/01/2022 00:00:00;null;null;null;null;32.6
05/01/2022 00:00:00;null;null;null;null;34
06/01/2022 00:00:00;null;null;null;null;26.6
07/01/2022 00:00:00;null;null;null;null;33.7
08/01/2022 00:00:00;null;null;null;null;31.6
09/01/2022 00:00:00;null;null;null;null;8.2
10/01/2022 00:00:00;null;null;null;null;31.9
11/01/2022 00:00:00;null;null;null;null;36.7
12/01/2022 00:00:00;null;null;null;null;29.8
13/01/2022 00:00:00;null;null;null;null;31.4
14/01/2022 00:00:00;null;null;null;null;28.3
15/01/2022 00:00:00;null;null;null;null;35.5
17/01/2022 00:00:00;null;null;null;null;35.5
18/01/2022 00:00:00;null;null;null;null;37.4
19/01/2022 00:00:00;null;null;null;null;28.1
20/01/2022 00:00:00;null;null;null;null;16.2
21/01/2022 00:00:00;null;null;null;null;51.4
22/01/2022 00:00:00;null;null;null;null;20.3
23/01/2022 00:00:00;null;null;null;null;4.3
24/01/2022 00:00:00;null;null;null;null;37.8
25/01/2022 00:00:00;null;null;null;null;27
26/01/2022 00:00:00;null;null;null;null;39.2
27/01/2022 00:00:00;null;null;null;null;25.1
28/01/2022 00:00:00;null;null;null;null;34.9
29/01/2022 00:00:00;null;null;null;null;28.9
30/01/2022 00:00:00;null;null;null;null;1.8
31/01/2022 00:00:00;null;null;null;null;35.9
01/02/2022 00:00:00;null;null;null;null;35.8
02/02/2022 00:00:00;null;null;null;null;32.8
03/02/2022 00:00:00;null;null;null;null;31.8
04/02/2022 00:00:00;null;null;null;null;33.4
05/02/2022 00:00:00;null;null;null;null;28.1
06/02/2022 00:00:00;null;null;null;null;6.5
