Temps;Co-Produit;LPlume;LSang;LV_Cuiseur_1;LV_Cuiseur_2;LV_Cuiseur_3

01/12/2021;153;26.7;23;43.8;44;15.3
02/12/2021;122.5;19.4;20;40.7;37.2;5.4
03/12/2021;173.8;24.2;21.7;41.9;35.1;50.9
04/12/2021;164.4;33.8;21.4;29.1;32;47.9
05/12/2021;7.9;0.5;4.4;null;1.1;2
06/12/2021;125.5;24;14.3;37.7;30.8;18.8
07/12/2021;184.6;24.5;23.6;44.7;40;51.8
08/12/2021;160.9;28.2;22.4;35.1;29;46.2
09/12/2021;126.3;16;21;27.9;28.4;32.1
10/12/2021;148.4;31.6;18;31.1;28.5;38.1
11/12/2021;141;17.5;17;31.9;29.7;43.6
12/12/2021;14;6.3;2;1.2;null;3.3
13/12/2021;126.7;20.1;19;27.9;24.5;34.3
14/12/2021;166.8;24.5;22;40.4;34.9;44
16/12/2021;142.1;26.9;21;33;19.7;40.8
17/12/2021;109.2;14.7;19;29.6;25;19.7
18/12/2021;132.4;18.8;18;31.2;21.8;41.5
19/12/2021;25.8;10.6;5;4;0.4;4.9
20/12/2021;145.2;22.2;17;37.5;18.9;48.7
21/12/2021;162.4;24.8;20;35.2;38.2;42.9
22/12/2021;158.2;29.3;19;45.7;37.8;26.1
04/01/2022;162.9;25.7;23.2;40.3;32.6;40.9
05/01/2022;169.8;33.6;22.5;40.8;34;39
06/01/2022;141.9;16.7;21.3;34.8;26.6;42.5
07/01/2022;150.5;30.1;21.6;40.9;33.7;24.3
08/01/2022;129.8;11.7;21.3;27;31.6;38.2
09/01/2022;40.4;14.5;6.8;4.7;8.2;6.2
10/01/2022;154.1;21.8;19.5;32.9;31.9;48.2
11/01/2022;157.1;23;22.7;32.3;36.7;42.5
12/01/2022;150.9;26.8;21.7;36.9;29.8;35.7
13/01/2022;136.9;17;22.4;37.2;31.4;29
14/01/2022;147.3;25.4;22.7;42.6;28.3;28.3
15/01/2022;132.3;21.4;19.4;31.8;35.5;24.2
16/01/2022;5.8;1.8;4.2;null;null;null
17/01/2022;145.4;20.4;19.5;43.1;35.5;26.9
18/01/2022;162.7;25.9;22.1;37.8;37.4;39.6
19/01/2022;135.2;21.9;21.1;33.5;28.1;30.6
20/01/2022;88;14;16.6;30;16.2;11.2
21/01/2022;194.1;27.9;27.1;44.2;51.4;43.3
22/01/2022;106.2;20.4;18.4;25.5;20.3;21.8
23/01/2022;17;0.9;1.2;5.4;4.3;5.1
24/01/2022;153.2;25.1;20.2;37.6;37.8;32.6
25/01/2022;128.9;19.2;24.6;30;27;28.1
26/01/2022;156.8;21.5;19.3;39.6;39.2;37.2
27/01/2022;137.2;23.3;22.3;34.5;25.1;32.1
28/01/2022;155.2;21.4;24.6;37.1;34.9;37.2
29/01/2022;120.2;14.1;17.1;26.1;28.9;33.8
30/01/2022;15.2;6.4;3.5;1;1.8;2.4
31/01/2022;149.5;23;20;39.4;35.9;31.4
01/02/2022;162.2;23.4;23.2;45.4;35.8;34.3
02/02/2022;162.9;24;24.5;42.4;32.8;39.4
03/02/2022;138.9;18.4;23.1;38.2;31.8;27.2
04/02/2022;143;23.8;23.1;41.8;33.4;21
05/02/2022;143.3;25.6;21.8;47.7;28.1;20.1
06/02/2022;27.1;4.9;4.4;4.9;6.5;6.5
07/02/2022;143.3;26.4;19.7;48.1;23.9;25
08/02/2022;174.8;27.1;23.6;41.1;36.1;47.1
09/02/2022;144.6;22.4;19.9;37.2;33.5;31.3
10/02/2022;128.5;15.5;20.3;35;30.4;27.3
11/02/2022;154;30.8;23.1;35.5;31.5;33.2
12/02/2022;138.2;19.4;20.5;38;33.4;26.9
13/02/2022;15.1;5.9;5;0.4;2.6;1.2
